Название вакансии,Компания,Зарплата,Ссылка
Веб-программист разработчик,Lite-Invest,60 000 – 150 000 ₽ на руки,https://ufa.hh.ru/vacancy/104647056?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Компания КомЛайн,Не указана,https://ufa.hh.ru/vacancy/104463453?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Софт-Сервис, Группа Компаний",Не указана,https://ufa.hh.ru/vacancy/91612021?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С / Программист 1С (Стажер 1С),ООО Производственная Безопасность и Экология,50 000 – 80 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/98387995?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Кубышка-сервис,Не указана,https://ufa.hh.ru/vacancy/103640153?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Башкирская автомобильная компания (БАШАВТОКОМ),от 150 000 ₽ на руки,https://ufa.hh.ru/vacancy/104441810?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист 1 С (БП, ЗУП, УАТ) 8.3",ООО Транстерминал,100 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/103688195?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Битрикс разработчик,CMstore,от 180 000 ₽ на руки,https://ufa.hh.ru/vacancy/103110352?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
FullStack разработчик (middle),HALIKOV STUDIO,75 000 – 100 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/103715487?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-верстальщик,ООО Планета,80 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/104322580?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП (Junior),АО СКАД тех,Не указана,https://ufa.hh.ru/vacancy/103365708?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Flutter разработчик,HALIKOV STUDIO,до 100 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/102922313?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python developer,ООО КОМТЕК,60 000 – 130 000 ₽ на руки,https://ufa.hh.ru/vacancy/102818859?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший специалист по системе 1С (программист),Медиа-Холдинг,Не указана,https://ufa.hh.ru/vacancy/104549742?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист группы разработки и внедрения ПО,ООО Системы Нефть и Газ,Не указана,https://ufa.hh.ru/vacancy/93795858?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ (SCADA),АО СКАД тех,80 000 – 180 000 ₽ на руки,https://ufa.hh.ru/vacancy/103552617?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Flutter-разработчик,ООО Класс - информационные технологии для бизнеса,от 100 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/102252493?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Башнефть - ПЕТРОТЕСТ,Не указана,https://ufa.hh.ru/vacancy/98519163?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
